ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
Y6116	Male	36-45	Black African	Strolling	Yes	2	Parking Lot	Hampstead Road	Claremont	18,48285463	-33,98805057
Y6117	Male	46-55	Black African	Strolling	Yes	2	Parking Lot	Hampstead Road	Claremont	18,48287322	-33,98805542
Y6120	Female	26-35	Coloured	Sitting	Yes	2	Park	Imam Haron Road	Claremont	18,48318181	-33,98367079
Y6121	Male	26-35	Coloured	Sitting	Yes	2	Park	Imam Haron Road	Claremont	18,48322329	-33,98367753
Y6122	Male	46-55	Black African	Sitting	No	1	Parking Lot	Imam Haron Road	Claremont	18,48352253	-33,98379209
Y6123	Male	46-55	Coloured	Strolling	No	1	Parking Lot	Imam Haron Road	Claremont	18,48356113	-33,98380179
B312	Male	36-45	Black African	Strolling	No	1	Pavement	Newlands Avenue	Newlands	18,46380829	-33,95585271
B361	Male	36-45	Black African	Sitting	Yes	2	Under Bridge	Belmont Road	Claremont	18,47208264	-33,96096626
B311	Male	46-55	Black African	Strolling	Yes	2	Under Bridge	Belmont Road	Claremont	18,47208264	-33,96096626
Y613	Male	46-55	Black African	Sitting	Yes	2	Park	Kenilworth Park	Kenilworth	18,4711718	-33,99478543
Y612	Male	46-55	Black African	Sitting	Yes	2	Park	Kenilworth Park	Kenilworth	18,47124632	-33,9947762
Y611	Male	46-55	Coloured	Strolling	No	1	Pavement	Bathurst Road	Wynberg	18,47302278	-34,0020416
B3113	Female	26-35	Coloured	Sitting	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3114	Male	36-45	Coloured	Sitting	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B318	Female	46-55	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B319	Female	46-55	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3110	Male	36-45	Black African	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
B3111	Female	56-65	Coloured	Sleeping	Yes	14	Train Station	Palmyra Road	Claremont	18,4673379	-33,98151616
